question_from_llm,natural_question_arisen_from_code,python_script_path,tables,text,source_dataset,check_if_code_works,bias,number_of_nested_queries,error_message
"Among households that use a plot/land (su01=1) and reported a positive total debt plus interest (crh04_2 > 0), which states (ent) have the highest average total debt? Return the top 10 states with their average debt and the number of such households, considering only adults (edad >= 18).","Among households that use a plot/land for farming and have a positive amount of total debt including interest, and considering only adults (18+), which 10 states have the highest average household debt in pesos, and how many such households are counted in each state?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000011.py,"[""ii_portad"", ""ii_su"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,column_provenance,,
"By state, among households that reported a positive value for total debts + interests and that use a plot/land for farming, what are the average household size and average total debt per household?","By state, among households that use a plot/land for sowing/farming/vegetables and report a positive total debt (debts + interest), what are the average total debt and the average household size, and how many such households are there, ranked by average total debt from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000012.py,"[""ii_portad"", ""ii_su"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,join_fanout,,
"Which five Mexican states have the highest average age of adult interviewed individuals living in households that both use a plot/land (su01=1) and have window bars facing the street (vlh07b=1)? Return the state code, average age, and the number of adults considered.","Among interviewed adults (age 18+) living in households that have window bars facing the street and use a plot/land for sowing/farming/vegetables, which five states have the highest average age, and how many such adults are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000013.py,"[""ii_portad"", ""ii_vlh"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,multi_join,1.0,
"Among adults aged 30–60 in Oaxaca (ent=20), which households whose assets respondent is individual ID 2 and that reported positive income from Other Government Program (in02a10 > 0) have electronic device values (ah04e_2) above the Oaxaca average? List the top 10 by ah04e_2, showing folio, edad, ent, ls_x (from roster) and ls_y (from assets).","Among Oaxaca households with an interviewee aged 30–60 that received a positive amount from the Other Government Program, which are the top 10 households by electronic device value (recorded for individual 2) whose value exceeds the Oaxaca average for this group?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000014.py,"[""ii_portad"", ""ii_in"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,column_provenance,1.0,
"Among households with at least one individual who produced/sold dairy products in the last 12 months (inr02a=1), by state (ent) report: the number of such households, the mean household average age (average of ages across members within each household), and the number of those households that also own/share a non-ag business (nna01=1). Return the top 10 states by number of such households.","Which top 10 states have the most households where at least one member produced or sold dairy products in the last 12 months, and for each state what are (a) the number of such households, (b) the average household age among them, and (c) how many of those households have at least one member who owns or shares a non-agricultural business?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000015.py,"[""ii_portad"", ""ii_nna"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,join_fanout,3.0,
"Which Mexican states have an average direct income from the Other Government Program (in02a10) above 2000 pesos among states with at least 30 qualifying households, considering only households where at least one member owns an electronic device and that reported receiving this program income?","By state, what is the average amount received from the “Other Government Program” among households that reported receiving a positive amount and have at least one member who owns an electronic device, showing only states with at least 30 such households and an average above 2,000 pesos, ordered from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000016.py,"[""ii_portad"", ""ii_ah"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among households with at least one adult (edad >= 18), how does the average total debt (crh04_2) differ by land-use status (su01), considering only households whose total debt is at or above the overall mean debt?","For households with at least one adult (age 18+) and a recorded total debt plus interest, among those whose debt is at or above the overall average, what is the average total debt (in pesos) and how many households are there, broken down by whether the household uses a plot/land for sowing/farming/vegetables (Yes vs No)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000017.py,"[""ii_portad"", ""ii_su"", ""ii_crh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_crh_enriched.txt""]",hh09dta_b2,yes,join_fanout,2.0,
"Among adult respondents (age 18+) in the state of Oaxaca, for households that produced/sold eggs in the last 12 months and reported owning/sharing a non-agricultural business, what is the average number of such businesses owned/shared?","Among households in Oaxaca with at least one adult (18+), that produced or sold eggs in the last 12 months and where a household member owns or shares a non-agricultural business, what is the average number of non-agricultural businesses owned or shared in the last 12 months?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000018.py,"[""ii_portad"", ""ii_nna"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,multi_join,3.0,
"Among indebted households, what is the average total debts + interests amount (crh04_2) for households in Oaxaca (ent=20) whose respondent feels unsafe at home (vlh04 in {3,4}) and disagrees that their locality is close-knit (vlh01k in {3,4})?","Among households in Oaxaca that reported a positive total debt (including interest), what is the average amount in pesos and how many households meet this condition if they feel unsafe or very unsafe at home and disagree or completely disagree that their locality is close‑knit?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000019.py,"[""ii_portad"", ""ii_crh"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,column_provenance,1.0,
"Among households that own/share a non-ag business, which state (ent) and household member count have the highest number of households that reported producing/selling eggs in the last 12 months?","Among households that both produced or sold eggs in the last 12 months and own/share a non-agricultural business, which state and household size (number of individuals) has the highest number of households, and how many households is that?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000020.py,"[""ii_portad"", ""ii_nna"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,join_fanout,2.0,
"Among Mexican states (ent) with at least 100 surveyed households, how many households reported knowing a family or friend who was robbed in the last 12 months? List states with their total surveyed households and the count of such reports, sorted by that count descending.","Among states with at least 100 surveyed households, how many households per state reported knowing a family or friend who was robbed (house or business) in the last 12 months, and how do the states rank from highest to lowest on that count (also showing total households per state)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000021.py,"[""ii_portad"", ""ii_inr"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,having,1.0,
"Which households that both own a non-ag business and use farmland received direct income from Other Government Program (in02a10) above the average among such households? Return household ID and amount, sorted descending.","Among households where at least one member owns or shares a non‑agricultural business and the household uses a plot of land for farming, which household IDs received a positive direct payment from “Other Government Program” above the average for such households, and how much did each receive (sorted highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000022.py,"[""ii_portad"", ""ii_in"", ""ii_nna"", ""ii_su"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among interviewed individuals in Oaxaca (ent=20), which 10 oldest individuals live in households that produced/sold meat in the last 12 months and received an amount from Other Government Program (in02a10) above the Oaxaca-wide average for such households?","Among individuals in Oaxaca living in households that produced or sold meat in the last 12 months, which are the top 10 oldest individuals (at least as old as the mean age for such households) whose households received an above-average amount from Other Government Program (in02a10), and what are their household ID (folio), individual ID (ls), age, and amount received?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000023.py,"[""ii_portad"", ""ii_inr"", ""ii_in"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_in_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,multi_join,3.0,
"Among individuals aged 30–50 living in households that received income from an Other Government Program, which states (ent) have an average reported value of wash machine/stove assets (ah04f_2) above the overall state average? Return states and their averages sorted descending.","Among households that reported participating and receiving income from an Other Government Program in the last 12 months, and considering only interviewed individuals aged 30–50 with Individual ID 01 or 02, which states have an average reported value of washing machine/stove (ah04f_2) above the overall mean across states, and what are those averages (sorted highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000024.py,"[""ii_portad"", ""ii_in"", ""ii_ah"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,column_provenance,3.0,
"Among households in Oaxaca (ent = 20), what is the average expense on agricultural workers (su237) for households whose worker expense is above the Oaxaca average, broken down by the number of non-ag businesses owned/shared (nna02_total) and whether they know a family/friend robbed in the last 5 years (vlh08a)?","Among households in Oaxaca, considering only those whose agricultural worker expenses are above the state average, what is the average worker expense and how many households are there by the household’s total number of non‑agricultural businesses owned/shared in the last 12 months and by whether they know a family or friend who has been robbed in the last five years?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000025.py,"[""ii_portad"", ""ii_nna"", ""ii_su"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_su_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,join_fanout,3.0,
"Which states (by ent code) have an average household spending on seeds (su234) among households that use land (su01 = 1) that is greater than 1,000 pesos and at least as high as the national average among such households?","Among households that use a plot/land for sowing or farming, which states have an average household expense on seeds greater than 1,000 and at least as high as the overall average across all such households, and how do those states rank by that average expense (highest to lowest)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000026.py,"[""ii_portad"", ""ii_crh"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,having,2.0,
Which states have the highest number of adults (age 18+) living in households whose total debts plus interests (crh04_2) exceed the national average of total debts among households with reported values?,Which are the top 10 states with the highest number of adults (age 18+) living in households whose total debts including interest are above the overall average across households with reported debt values?,python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000027.py,"[""ii_portad"", ""ii_se"", ""ii_crh"", ""ii_ah"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,1.0,
"By state, among individuals older than the sample's average age, what is the average household seed expenditure (su234) for those living in households that used land for agriculture (su01=1), reported a total crop loss in the last 5 years (se01e=1), and also own a non-agricultural business?","By state, among adults (18+) whose age is above the overall average, living in households that use land for farming, that experienced total crop loss in the last five years, and that have a non-agricultural business, how many such individuals are there and what is the average household expense on seeds?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000028.py,"[""ii_portad"", ""ii_su"", ""ii_se"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_se_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,multi_join,2.0,
"Among households that both received Other Government Program support and Liconsa milk, and that feel unsafe at home, what is the average age of interviewed individuals by state for households with above-average victimizations since 2005?","By state, what is the average age and the number of adults (18+) living in households that feel unsafe or very unsafe at home, received Liconsa milk in the last 12 months, received a positive amount from an Other Government Program, and have a total number of household/business/parcel break-ins since 2005 above the overall average, ranked by highest average age?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000029.py,"[""ii_portad"", ""ii_in"", ""ii_vlh"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,column_provenance,2.0,
"Among households that use agricultural land (su01=1) and have experienced at least one break-in/robbery since 2005 (vlh18a > 0), what is the average reported value of electronic devices per household by state (ent), considering only households whose device value exceeds the overall mean among these eligible households?","Rank states by the average value of electronic devices among households that use land for farming and have had at least one robbery (house, business, or parcel) since 2005, considering only households whose electronics value is above the overall mean; include the number of households per state.",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000030.py,"[""ii_portad"", ""ii_su"", ""ii_vlh"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,join_fanout,1.0,
"Which Mexican states (ent) have at least 100 households that experienced any robbery/burglary since 2005 (vlh18a > 0), and among those, which states have total incidents since 2005 above the overall state average?","Which Mexican states have at least 100 households that experienced one or more break-ins/robberies of a house, business, or parcel since 2005, and whose total number of such incidents exceeds the average across states with any incidents, ranked by total incidents from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000031.py,"[""ii_portad"", ""ii_crh"", ""ii_vlh"", ""ii_inr"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,having,2.0,
"Which households in Oaxaca (ent = 20 in ii_portad) have total debts plus interests (crh04_2 in ii_crh, considering only rows where crh04_1 = 1 meaning a numeric value was reported) above the average total debts plus interests among Oaxaca households that feel unsafe at home (vlh04 ∈ {3,4} in ii_vlh)? Return their folio and crh04_2, sorted descending. Note that the comparison average is computed only among the unsafe Oaxaca households, but the selection considers all Oaxaca households with a reported debt value.","Which households in Oaxaca have a reported total debts plus interest (in pesos) greater than the average among Oaxaca households who feel unsafe or very unsafe at home, and what are their amounts, ordered from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000032.py,"[""ii_portad"", ""ii_crh"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,3.0,
"Among households in Oaxaca (ent = 20) that have at least one adult respondent (edad >= 18) and reported a household member’s death in the last five years (se01a = 1), compare the average number of times since 2005 that the household was entered/robbed (vlh18a) between households where at least one member personally owns an electronic device (any ah03e = 1 in the household) versus households where no member does (all ah03e = 3). Which ownership status has an average at least as high as the overall mean within this Oaxaca, adult-respondent, death-affected subset?","Among households in Oaxaca that have at least one adult and experienced a household member’s death in the last five years, which group—households where any member owns an electronic device versus none—has an average number of times their house, business, or parcel was entered/robbed since 2005 at or above the overall average, and how many households are in each such group?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000033.py,"[""ii_portad"", ""ii_vlh"", ""ii_se"", ""ii_su"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_se_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,multi_join,1.0,
"Among households that reported receiving Liconsa Milk in the last 12 months (in03a=1) and indicated participation with income in Other Government Program (in01a10_1=1) but explicitly did not receive Pronjag (in03b=3, not just missing), and that own/share a non-agricultural business (nna01=1), restrict to those whose direct amount from Other Government Program (in02a10) is strictly above the nationwide average among these qualifying households. For each state (ent), how many such households are there, and how many of them paid any positive amount toward debts in the last 12 months (crh03_1=1 and crh03_2>0)?","By state, how many households that own/share a non‑agricultural business, received Liconsa milk in the last 12 months, did not receive Pronjag, and participated in and received income from the Other Government Program—with a directly received amount from that program above the overall average among such households—are there in total, and how many of these households paid any money on debts/loans in the last 12 months?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000034.py,"[""ii_portad"", ""ii_in"", ""ii_crh"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,column_provenance,1.0,
"Among Oaxaca households (state ent=20) that reported receiving a positive direct amount from the 'Other Government Program' in the last 12 months (in02a10 > 0), which households have total debts plus interests (crh04_2) above the Oaxaca-wide average computed across all Oaxaca households that reported a valid total-debt value (crh04_1=1)? List the household ID (folio), their total debts, and the direct amount received.","Which households in Oaxaca that received a positive amount directly from the Other Government Program have total debts plus interest above the Oaxaca average, and what are their household IDs, debt amounts, and received amounts, sorted from highest to lowest debt?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000035.py,"[""ii_portad"", ""ii_crh"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,join_fanout,3.0,
"Among states with at least 20 distinct households that own a motor vehicle (ah03d=1, deduplicated by household folio, not by individual rows), which states have an above-mean (computed across those eligible states) number of distinct households that both own a motor vehicle and use a plot for farming (su01=1)? Return the state code (ent) and the count of such households.","Among states with at least 20 households that own a motor vehicle, which states have an above-average number of households that also use a plot of land for farming or vegetable growing?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000036.py,"[""ii_portad"", ""ii_su"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among households that explicitly reported zero times being robbed or forcibly entered since 2005 (vlh18a = 0) and who nevertheless reported knowing a family/friend robbed in the last 12 months (vlh10a = 1), which interviewed individuals are older than the average age of interviewed individuals within that zero-robbery subgroup? Return folio, state (ent), age (edad), and vlh18a.","Which individuals are older than the overall average age among people in households with zero break-ins of their house, business, or parcel since 2005 and who report knowing a family/friend robbed in the last 12 months, listing their household ID (folio), state (ent), age (edad), and the zero-incident count (vlh18a), sorted from oldest to youngest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000037.py,"[""ii_portad"", ""ii_inr"", ""ii_crh"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,scalar_filter,1.0,
"Among households in Oaxaca (ent = 20) that reported feeling unsafe at home (vlh04 = 3 or 4), how many such households have at least one interviewed adult (edad ≥ 18) who personally owns a motor vehicle (ah03d = 1), and how many unsafe households are there in total? Count households, not individuals, and only include households that answered the safety question.","In the state of Oaxaca, how many households report feeling unsafe or very unsafe at home, and among those, how many have at least one adult household member and at least one member who owns a motor vehicle?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000038_repaired_v1.py,"[""ii_portad"", ""ii_ah"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,multi_join,3.0,
"Among Oaxaca households (ent = 20) where at least one member reported producing or selling dairy products in the last 12 months (inr02a = 1), what is the average age of the household member with individual ID 1 (i.e., ls = '01' in ii_portad and ls = 1 in ii_inr)?","Among households in Oaxaca that reported producing or selling dairy products in the last 12 months, what is the overall average age of the household member with Individual ID '01'?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000039.py,"[""ii_portad"", ""ii_crh"", ""ii_inr"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_inr_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,column_provenance,1.0,
"Among Oaxaca households (ent = 20) that answered the safety-at-home question (vlh04) and that have at least one interviewed member aged 18 or older, what is the average number of adults (aged 18+) per household, broken out by the exact vlh04 response category (1 very safe, 2 safe, 3 unsafe, 4 very unsafe)? Count each household once (not once per person), and exclude households with no recorded adult rather than treating them as zero.","In Oaxaca (state code 20), among households with a valid answer to 'Feel safe at home?', what is the average number of adults (age 18+) per household for each response category (very safe, safe, unsafe, very unsafe)?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000040.py,"[""ii_portad"", ""ii_vlh"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,join_fanout,2.0,
"Among households where at least one member reports owning a domestic appliance (ah03g=1), which states (ent) — limited to states represented by at least 25 such households — have more households that explicitly answered 'No (since 2005)' to the forced-entry robbery at home question (vlh12a_c=3) than households that answered 'Yes, into the current dwelling' (vlh12a_a=1)? Return the qualifying states with the household counts used.","Which states have at least 25 households with at least one member owning a domestic appliance, where the number of households reporting no forced home entry since 2005 exceeds the number reporting a forced entry into their current dwelling since 2005, and what are the counts of total such households, ‘no since 2005’, and ‘yes to current dwelling since 2005’ for each state?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000041_repaired_v1.py,"[""ii_portad"", ""ii_vlh"", ""ii_su"", ""ii_ah""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_su_enriched.txt"", ""ii_ah_enriched.txt""]",hh09dta_b2,yes,having,3.0,
"Among Oaxaca households (ent=20) that have at least one reported domestic appliance value, which business-owning households (nna01=1) have a household-level maximum domestic appliance value (across members) strictly above the average of that same household-level maximum among Oaxaca households without a non‑ag business (nna01=2)? Return the Household ID and the household-level maximum value.","Which Oaxaca (state code 20) households that own/share a non-agricultural business have a highest-valued domestic appliance worth more than the average highest-valued domestic appliance among Oaxaca households without a non-agricultural business, and what are those values sorted from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v2/hh09dta_b2/query_000042.py,"[""ii_portad"", ""ii_ah"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,scalar_filter,2.0,
